ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0368,0.1106,9.7682,0.152,0.0602,9.8052,-0.1152,0.0504,-0.037,2.0E-4,2.0E-4,0.0073,25.0,-54.71,-123.48,-26.3,156.04,-0.35,-0.91,4.0,74.153,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,12,2015-08-10 08:27:09:213
0.0512,0.0723,9.8568,0.1498,0.0617,9.8053,-0.0986,0.0106,0.0515,2.0E-4,2.0E-4,0.0073,25.0,-54.47,-123.14,-25.63,156.43,-0.35,-0.89,4.0,74.153,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,111,2015-08-10 08:27:09:312
0.1015,0.0316,9.7802,0.1466,0.0634,9.8053,-0.0452,-0.0319,-0.0251,2.0E-4,-8.0E-4,0.0094,25.0,-54.28,-123.28,-25.67,156.43,-0.36,-0.88,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,212,2015-08-10 08:27:09:413
0.1015,0.0316,9.7802,0.1466,0.0634,9.8053,-0.0452,-0.0319,-0.0251,2.0E-4,-8.0E-4,0.0073,25.0,-54.28,-123.28,-25.67,156.43,-0.36,-0.88,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,312,2015-08-10 08:27:09:513
0.1326,0.0412,9.761,0.1447,0.064,9.8053,-0.0121,-0.0229,-0.0443,0.0012,-8.0E-4,0.0073,25.0,-54.23,-123.66,-26.09,156.59,-0.37,-0.86,4.0,71.689,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,411,2015-08-10 08:27:09:612
0.0727,0.0603,9.8137,0.1435,0.0637,9.8053,-0.0708,-0.0034,0.0084,0.0012,-8.0E-4,0.0073,25.0,-53.75,-123.75,-26.36,156.59,-0.37,-0.85,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,511,2015-08-10 08:27:09:712
0.0727,0.0603,9.8137,0.1435,0.0637,9.8053,-0.0708,-0.0034,0.0084,-9.0E-4,-0.0019,0.0073,25.0,-53.75,-123.75,-26.36,156.59,-0.37,-0.85,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,612,2015-08-10 08:27:09:813
0.0536,0.0747,9.8017,0.1408,0.0651,9.8053,-0.0872,0.0096,-0.0036,2.0E-4,2.0E-4,0.0062,25.0,-53.43,-123.55,-26.75,156.98,-0.37,-0.84,4.0,55.417,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,712,2015-08-10 08:27:09:913
0.0631,0.0268,9.773,0.1389,0.0666,9.8053,-0.0757,-0.0398,-0.0323,2.0E-4,2.0E-4,0.0062,25.0,-53.75,-123.52,-26.52,156.59,-0.38,-0.82,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,812,2015-08-10 08:27:10:013
0.0679,0.0627,9.8185,0.1375,0.0672,9.8055,-0.0696,-0.0045,0.013,0.0012,-0.0019,0.0084,25.0,-54.3,-123.51,-26.32,156.58,-0.39,-0.81,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,912,2015-08-10 08:27:10:113
0.0679,0.0627,9.8185,0.1375,0.0672,9.8055,-0.0696,-0.0045,0.013,0.0023,-8.0E-4,0.0073,25.0,-54.3,-123.51,-26.32,156.58,-0.39,-0.81,4.0,69.842,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1012,2015-08-10 08:27:10:213
0.0248,0.0603,9.8089,0.1354,0.0667,9.8055,-0.1106,-0.0064,0.0034,0.0013,-8.0E-4,0.0083,25.0,-54.52,-123.73,-26.1,156.19,-0.39,-0.8,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1111,2015-08-10 08:27:10:312
0.0464,0.1082,9.8041,0.1323,0.0691,9.8055,-0.0859,0.0391,-0.0013,0.0013,-8.0E-4,0.0083,25.0,-54.19,-124.01,-26.16,156.58,-0.39,-0.79,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1211,2015-08-10 08:27:10:412
0.0464,0.1082,9.8041,0.1323,0.0691,9.8055,-0.0859,0.0391,-0.0013,0.0023,-0.0019,0.0073,25.0,-54.19,-124.01,-26.16,156.58,-0.39,-0.79,4.0,74.012,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1312,2015-08-10 08:27:10:513
0.0919,0.0723,9.8688,0.1309,0.0721,9.8055,-0.0391,1.0E-4,0.0633,-9.0E-4,-8.0E-4,0.0062,25.0,-54.03,-123.74,-26.32,156.57,-0.4,-0.77,4.0,68.626,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1412,2015-08-10 08:27:10:613
0.0847,0.0459,9.8903,0.1296,0.0735,9.8055,-0.0449,-0.0275,0.0848,-9.0E-4,-8.0E-4,0.0062,25.0,-53.88,-123.71,-26.22,156.57,-0.42,-0.77,4.0,68.626,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1512,2015-08-10 08:27:10:713
0.0464,0.0364,9.8304,0.1284,0.0736,9.8055,-0.082,-0.0373,0.025,2.0E-4,-8.0E-4,0.0094,25.0,-53.6,-123.73,-25.72,156.57,-0.43,-0.76,4.0,68.626,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1612,2015-08-10 08:27:10:813
0.0464,0.0364,9.8304,0.1284,0.0736,9.8055,-0.082,-0.0373,0.025,0.0013,0.0013,0.0094,25.0,-53.6,-123.73,-25.72,156.57,-0.43,-0.76,4.0,64.151,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1712,2015-08-10 08:27:10:913
0.0608,0.0723,9.8185,0.126,0.0739,9.8055,-0.0652,-0.0016,0.013,2.0E-4,2.0E-4,0.0083,25.0,-53.71,-123.4,-25.98,156.4,-0.43,-0.75,4.0,64.151,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1812,2015-08-10 08:27:11:013
0.0488,0.0555,9.7035,0.1235,0.0751,9.8055,-0.0747,-0.0196,-0.1019,2.0E-4,2.0E-4,0.0083,25.0,-53.43,-123.22,-26.36,156.79,-0.43,-0.74,4.0,64.151,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,1912,2015-08-10 08:27:11:113
0.0488,0.0555,9.7035,0.1235,0.0751,9.8055,-0.0747,-0.0196,-0.1019,0.0023,-8.0E-4,0.0094,25.0,-53.43,-123.22,-26.36,156.79,-0.43,-0.74,4.0,71.992,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2011,2015-08-10 08:27:11:212
0.1062,0.0795,9.8664,0.12,0.0759,9.8056,-0.0138,0.0036,0.0608,0.0023,-0.0019,0.0094,25.0,-53.42,-122.95,-26.69,156.79,-0.44,-0.72,4.0,71.992,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2111,2015-08-10 08:27:11:312
0.0248,0.0579,9.8017,0.1197,0.0763,9.8056,-0.0949,-0.0184,-0.0039,0.0023,-0.0019,0.0094,25.0,-53.23,-123.04,-26.79,156.78,-0.44,-0.7,4.0,71.992,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2212,2015-08-10 08:27:11:413
0.0248,0.0699,9.7251,0.1176,0.0775,9.8056,-0.0928,-0.0076,-0.0805,0.0013,-0.0019,0.0083,25.0,-53.25,-123.26,-27.12,156.78,-0.45,-0.7,4.0,71.992,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2312,2015-08-10 08:27:11:513
0.0248,0.0699,9.7251,0.1176,0.0775,9.8056,-0.0928,-0.0076,-0.0805,0.0013,2.0E-4,0.0083,25.0,-53.25,-123.26,-27.12,156.78,-0.45,-0.7,4.0,73.212,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2411,2015-08-10 08:27:11:612
0.056,0.0771,9.7802,0.1158,0.0786,9.8056,-0.0599,-0.0015,-0.0254,2.0E-4,-8.0E-4,0.0083,24.0,-54.16,-123.52,-27.05,156.56,-0.45,-0.69,4.0,73.212,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2511,2015-08-10 08:27:11:712
0.1182,0.0483,9.8616,0.1139,0.0802,9.8056,0.0043,-0.0319,0.056,2.0E-4,-8.0E-4,0.0083,24.0,-54.6,-123.98,-26.68,156.17,-0.46,-0.68,4.0,73.212,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2612,2015-08-10 08:27:11:813
0.1182,0.0483,9.8616,0.1139,0.0802,9.8056,0.0043,-0.0319,0.056,0.0013,-8.0E-4,0.0083,24.0,-54.6,-123.98,-26.68,156.17,-0.46,-0.68,4.0,70.605,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2712,2015-08-10 08:27:11:913
0.0847,0.0435,9.8592,0.1127,0.0811,9.8056,-0.028,-0.0376,0.0536,0.0013,-0.003,0.0105,24.0,-54.61,-124.06,-26.7,156.16,-0.47,-0.67,4.0,70.605,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2812,2015-08-10 08:27:12:013
-0.0015,0.0986,9.8137,0.1127,0.0798,9.8056,-0.1142,0.0189,0.0081,0.0013,-0.003,0.0105,24.0,-54.14,-123.7,-27.03,156.55,-0.47,-0.66,4.0,70.605,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,2912,2015-08-10 08:27:12:113
0.0368,-0.0091,9.8304,0.1118,0.0804,9.8056,-0.075,-0.0895,0.0248,0.0013,0.0013,0.0073,24.0,-54.54,-123.31,-27.31,155.99,-0.47,-0.66,4.0,72.977,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3012,2015-08-10 08:27:12:213
0.0368,-0.0091,9.8304,0.1118,0.0804,9.8056,-0.075,-0.0895,0.0248,0.0013,-8.0E-4,0.0083,24.0,-54.54,-123.31,-27.31,155.99,-0.47,-0.66,4.0,72.977,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3112,2015-08-10 08:27:12:313
0.0608,-0.0163,9.8137,0.1104,0.078,9.8056,-0.0497,-0.0943,0.0081,0.0013,-8.0E-4,0.0105,24.0,-54.53,-123.01,-27.01,155.99,-0.47,-0.65,4.0,72.977,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3211,2015-08-10 08:27:12:412
0.0631,0.0124,9.7778,0.1088,0.078,9.8056,-0.0456,-0.0655,-0.0278,0.0013,-8.0E-4,0.0105,24.0,-53.83,-122.92,-26.42,156.38,-0.46,-0.65,4.0,65.356,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3311,2015-08-10 08:27:12:512
0.0631,0.0124,9.7778,0.1088,0.078,9.8056,-0.0456,-0.0655,-0.0278,2.0E-4,2.0E-4,0.0094,24.0,-53.83,-122.92,-26.42,156.38,-0.46,-0.65,4.0,65.356,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3412,2015-08-10 08:27:12:613
0.0296,0.034,9.8879,0.1077,0.0783,9.8058,-0.0781,-0.0443,0.0822,0.0023,2.0E-4,0.0083,24.0,-53.77,-123.1,-26.52,156.38,-0.46,-0.64,4.0,65.356,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3511,2015-08-10 08:27:12:712
0.1565,0.0938,9.8304,0.1061,0.0793,9.8058,0.0504,0.0145,0.0247,0.0023,2.0E-4,0.0083,24.0,-54.29,-123.48,-26.55,156.38,-0.46,-0.63,4.0,67.711,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3611,2015-08-10 08:27:12:812
-0.0063,0.0507,9.7826,0.1076,0.0798,9.8056,-0.1139,-0.029,-0.023,2.0E-4,-1.0E-4,8.0E-4,23.0,-54.82,-123.67,-26.18,156.15,-0.46,-0.62,4.0,67.711,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3712,2015-08-10 08:27:12:913
-0.0063,0.0507,9.7826,0.1076,0.0798,9.8056,-0.1139,-0.029,-0.023,-9.0E-4,-1.0E-4,-0.0024,23.0,-54.82,-123.67,-26.18,156.15,-0.46,-0.62,4.0,67.711,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3812,2015-08-10 08:27:13:013
0.0368,0.0866,9.8376,0.1047,0.0784,9.8058,-0.0679,0.0082,0.0319,-9.0E-4,-0.0012,-0.0013,23.0,-54.88,-123.21,-26.51,155.98,-0.47,-0.63,4.0,71.334,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,3911,2015-08-10 08:27:13:112
0.0608,0.0148,9.8448,0.1027,0.0771,9.8058,-0.0419,-0.0622,0.0391,-9.0E-4,-0.0012,-0.0013,23.0,-54.63,-123.45,-26.57,155.98,-0.46,-0.61,4.0,71.334,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4012,2015-08-10 08:27:13:213
0.0608,0.0148,9.8448,0.1027,0.0771,9.8058,-0.0419,-0.0622,0.0391,-9.0E-4,0.002,-3.0E-4,23.0,-54.63,-123.45,-26.57,155.98,-0.46,-0.61,4.0,71.334,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4111,2015-08-10 08:27:13:312
0.0871,0.0244,9.7945,0.0991,0.0738,9.8058,-0.012,-0.0494,-0.0112,2.0E-4,-1.0E-4,-0.0013,23.0,-54.46,-123.07,-26.44,156.37,-0.45,-0.6,4.0,74.839,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4212,2015-08-10 08:27:13:413
0.1302,0.0196,9.9142,0.0968,0.0712,9.8059,0.0334,-0.0516,0.1083,2.0E-4,-1.0E-4,-0.0013,23.0,-54.72,-122.71,-26.56,155.98,-0.43,-0.58,4.0,74.839,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4312,2015-08-10 08:27:13:513
0.0751,0.0771,9.7586,0.097,0.0681,9.8059,-0.0218,0.009,-0.0473,-9.0E-4,0.0041,8.0E-4,23.0,-54.26,-123.08,-26.86,156.37,-0.42,-0.57,4.0,74.839,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4412,2015-08-10 08:27:13:613
0.0751,0.0771,9.7586,0.097,0.0681,9.8059,-0.0218,0.009,-0.0473,0.0012,-0.0012,-3.0E-4,23.0,-54.26,-123.08,-26.86,156.37,-0.42,-0.57,4.0,75.823,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4512,2015-08-10 08:27:13:713
9.0E-4,0.101,9.8352,0.0968,0.0672,9.8059,-0.0959,0.0338,0.0293,2.0E-4,0.002,8.0E-4,23.0,-54.08,-123.54,-26.81,156.54,-0.4,-0.57,4.0,75.823,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4612,2015-08-10 08:27:13:813
0.056,0.0962,9.8448,0.0938,0.0672,9.8059,-0.0379,0.029,0.0389,2.0E-4,0.002,8.0E-4,23.0,-54.49,-123.54,-26.46,156.54,-0.39,-0.57,4.0,75.823,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4712,2015-08-10 08:27:13:913
0.056,0.0962,9.8448,0.0938,0.0672,9.8059,-0.0379,0.029,0.0389,-9.0E-4,9.0E-4,-3.0E-4,23.0,-54.49,-123.54,-26.46,156.54,-0.39,-0.57,4.0,72.354,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4812,2015-08-10 08:27:14:013
0.0536,0.0388,9.8448,0.0928,0.0676,9.8059,-0.0392,-0.0289,0.0389,2.0E-4,9.0E-4,-3.0E-4,23.0,-54.35,-123.43,-26.2,156.36,-0.39,-0.55,4.0,72.354,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,4912,2015-08-10 08:27:14:113
0.0871,0.0364,9.8376,0.0901,0.067,9.8059,-0.003,-0.0307,0.0317,2.0E-4,9.0E-4,-3.0E-4,23.0,-54.25,-123.31,-26.23,156.36,-0.4,-0.54,4.0,72.354,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5012,2015-08-10 08:27:14:213
0.0703,0.0196,9.8664,0.0886,0.0669,9.8059,-0.0183,-0.0473,0.0605,-9.0E-4,9.0E-4,-3.0E-4,23.0,-54.61,-123.33,-25.76,155.97,-0.39,-0.53,4.0,73.827,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5111,2015-08-10 08:27:14:312
0.0703,0.0196,9.8664,0.0886,0.0669,9.8059,-0.0183,-0.0473,0.0605,0.0023,-0.0012,-0.0024,23.0,-54.61,-123.33,-25.76,155.97,-0.39,-0.53,4.0,73.827,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5211,2015-08-10 08:27:14:412
0.0703,0.0531,9.7658,0.0881,0.0651,9.8059,-0.0178,-0.012,-0.0401,-9.0E-4,9.0E-4,-3.0E-4,22.0,-54.88,-123.68,-25.62,156.14,-0.39,-0.52,4.0,73.827,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5311,2015-08-10 08:27:14:512
0.0703,0.0603,9.8065,0.0874,0.0637,9.8061,-0.0171,-0.0034,4.0E-4,-9.0E-4,9.0E-4,-3.0E-4,22.0,-54.59,-123.65,-25.69,156.14,-0.38,-0.51,4.0,72.722,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5411,2015-08-10 08:27:14:612
0.0703,0.0603,9.8065,0.0874,0.0637,9.8061,-0.0171,-0.0034,4.0E-4,-9.0E-4,-1.0E-4,-3.0E-4,22.0,-54.59,-123.65,-25.69,156.14,-0.38,-0.51,4.0,72.722,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5511,2015-08-10 08:27:14:712
0.0105,0.034,9.7634,0.0874,0.0628,9.8061,-0.0769,-0.0289,-0.0426,0.0012,9.0E-4,-3.0E-4,22.0,-54.46,-123.51,-26.21,156.53,-0.37,-0.51,4.0,72.722,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5611,2015-08-10 08:27:14:812
0.1038,0.0651,9.7873,0.0853,0.0609,9.8061,0.0186,0.0042,-0.0187,0.0012,9.0E-4,-3.0E-4,23.0,-54.49,-123.31,-26.71,156.36,-0.37,-0.51,4.0,73.028,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5712,2015-08-10 08:27:14:913
0.0727,0.0412,9.8831,0.085,0.0596,9.8061,-0.0123,-0.0184,0.0771,-9.0E-4,0.002,-3.0E-4,23.0,-54.85,-123.29,-26.44,155.97,-0.36,-0.5,4.0,73.028,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5811,2015-08-10 08:27:15:012
0.0727,0.0412,9.8831,0.085,0.0596,9.8061,-0.0123,-0.0184,0.0771,-0.003,0.0069,0.0,23.0,-54.85,-123.29,-26.44,155.97,-0.36,-0.5,4.0,73.028,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,5911,2015-08-10 08:27:15:112
0.0895,0.0866,9.7586,0.0872,0.0593,9.8061,0.0022,0.0274,-0.0474,-8.0E-4,0.0026,0.0,23.0,-55.02,-123.38,-26.39,155.97,-0.35,-0.5,4.0,69.93,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6011,2015-08-10 08:27:15:212
0.0536,0.0555,9.7778,0.0839,0.059,9.8061,-0.0304,-0.0034,-0.0283,-8.0E-4,0.0026,0.0,24.0,-54.7,-123.12,-26.35,155.97,-0.35,-0.51,4.0,69.93,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6111,2015-08-10 08:27:15:312
0.0536,0.0555,9.7778,0.0839,0.059,9.8061,-0.0304,-0.0034,-0.0283,0.0013,-0.0027,-0.0011,24.0,-54.7,-123.12,-26.35,155.97,-0.35,-0.51,4.0,69.93,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6211,2015-08-10 08:27:15:412
0.0416,0.0866,9.7897,0.0845,0.0581,9.8061,-0.0429,0.0286,-0.0163,0.0013,0.0037,0.0021,24.0,-54.43,-122.74,-26.6,156.36,-0.34,-0.49,4.0,73.36,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6312,2015-08-10 08:27:15:513
0.7551,0.2878,9.8855,0.0823,0.0555,9.8061,0.6728,0.2322,0.0795,0.0013,0.0037,0.0021,24.0,-54.94,-122.67,-26.82,155.97,-0.34,-0.49,4.0,73.36,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6412,2015-08-10 08:27:15:613
-0.0278,0.0579,10.0938,0.1007,0.0844,9.8058,-0.1285,-0.0265,0.2881,0.1068,0.0228,-0.1097,25.0,-55.6,-123.03,-26.62,155.58,-0.32,-0.48,4.0,73.36,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6513,2015-08-10 08:27:15:714
-0.0278,0.0579,10.0938,0.1007,0.0844,9.8058,-0.1285,-0.0265,0.2881,0.5116,0.075,-0.0149,25.0,-55.6,-123.03,-26.62,155.58,-0.32,-0.48,4.0,75.042,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6612,2015-08-10 08:27:15:813
-0.1978,0.7834,9.6581,-0.2035,0.4815,9.7926,0.0057,0.3018,-0.1345,0.5265,0.0729,-0.0277,25.0,-55.05,-123.1,-26.42,155.97,-0.49,-0.59,4.0,75.042,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6712,2015-08-10 08:27:15:913
-0.2242,1.5279,9.4354,-0.3129,1.2002,9.7278,0.0887,0.3277,-0.2924,0.5265,0.0729,-0.0277,25.0,-53.95,-123.52,-26.41,156.03,-2.81,1.19,4.0,75.042,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,6811,2015-08-10 08:27:16:012
