ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.1898,-0.6412,-9.577,-1.7346,-0.3994,-9.6438,-0.4552,-0.2418,0.0669,-0.0328,0.0697,0.0395,4.0,-22.08,-49.39,65.9,213.58,2.29,169.07,4.0,62.752,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,28611,2015-08-10 08:27:37:812
-1.675,-0.1456,-9.79,-1.6839,-0.3059,-9.6563,0.0088,0.1603,-0.1338,-0.0594,-0.0826,0.0054,4.0,-22.02,-50.58,66.42,211.95,2.33,169.8,4.0,62.752,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,28712,2015-08-10 08:27:37:913
-1.7612,0.022,-9.5027,-1.6679,-0.2497,-9.6606,-0.0934,0.2717,0.1579,-0.0594,-0.0826,0.0054,4.0,-21.75,-50.95,66.64,212.09,1.79,170.11,4.0,62.752,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,28811,2015-08-10 08:27:38:012
-2.0078,-0.1576,-9.7805,-1.7726,-0.1115,-9.6446,-0.2352,-0.0461,-0.1359,-0.0275,-0.0145,-0.001,4.0,-21.47,-51.81,67.09,210.92,1.46,170.2,4.0,72.13,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,28913,2015-08-10 08:27:38:114
-2.0078,-0.1576,-9.7805,-1.7726,-0.1115,-9.6446,-0.2352,-0.0461,-0.1359,-0.0435,-0.0539,-0.0596,4.0,-21.47,-51.81,67.09,210.92,1.46,170.2,4.0,72.13,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29011,2015-08-10 08:27:38:212
-1.4548,0.0172,-9.7685,-1.7627,-0.1243,-9.6462,0.308,0.1416,-0.1223,-0.0435,-0.0539,-0.0596,4.0,-21.38,-52.71,67.41,211.39,0.65,169.59,4.0,72.13,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29111,2015-08-10 08:27:38:312
-1.4069,-0.0283,-10.1468,-1.839,-0.0316,-9.6326,0.4322,0.0033,-0.5142,-0.0733,-0.0134,0.0203,4.0,-21.16,-53.45,67.36,211.3,0.73,169.64,4.0,66.661,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29211,2015-08-10 08:27:38:412
-1.4069,-0.0283,-10.1468,-1.839,-0.0316,-9.6326,0.4322,0.0033,-0.5142,-0.0243,-0.0081,0.0416,4.0,-21.16,-53.45,67.36,211.3,0.73,169.64,4.0,66.661,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29312,2015-08-10 08:27:38:513
-2.0438,-0.0115,-9.6991,-1.8178,0.0153,-9.6368,-0.226,-0.0268,-0.0622,-0.0424,-0.0038,-0.0266,4.0,-20.85,-53.62,67.73,211.63,0.18,169.19,4.0,66.661,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29412,2015-08-10 08:27:38:613
-1.8666,0.01,-9.8044,-1.7943,0.0533,-9.641,-0.0723,-0.0432,-0.1634,-0.0424,-0.0038,-0.0266,4.0,-20.45,-53.68,67.9,210.9,-0.09,169.32,4.0,63.592,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29511,2015-08-10 08:27:38:712
-1.8666,0.01,-9.8044,-1.7943,0.0533,-9.641,-0.0723,-0.0432,-0.1634,0.0205,0.0196,0.1013,4.0,-20.45,-53.68,67.9,210.9,-0.09,169.32,4.0,63.592,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29612,2015-08-10 08:27:38:813
-1.7373,0.0459,-9.7541,-1.8268,0.0953,-9.6346,0.0895,-0.0494,-0.1196,-0.0435,-0.0358,0.0394,4.0,-20.52,-53.48,67.5,212.0,-0.31,169.46,4.0,63.592,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29712,2015-08-10 08:27:38:913
-2.1012,0.1106,-9.6751,-1.7942,0.1055,-9.6407,-0.3071,0.0051,-0.0344,-0.0435,-0.0358,0.0394,4.0,-20.82,-53.68,67.35,211.81,-0.56,169.26,4.0,62.902,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29812,2015-08-10 08:27:39:013
-1.9623,0.5703,-9.9217,-1.7295,0.2363,-9.6501,-0.2328,0.334,-0.2716,-0.167,0.1091,0.0874,4.0,-20.49,-53.94,67.64,211.05,-0.62,169.46,4.0,62.902,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,29912,2015-08-10 08:27:39:113
-1.9623,0.5703,-9.9217,-1.7295,0.2363,-9.6501,-0.2328,0.334,-0.2716,-0.4493,0.0995,0.4325,4.0,-20.49,-53.94,67.64,211.05,-0.62,169.46,4.0,62.902,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30012,2015-08-10 08:27:39:213
-1.3782,0.8935,-10.0079,-1.5356,0.6988,-9.6605,0.1574,0.1947,-0.3475,-0.4909,0.1155,0.1055,4.0,-20.0,-54.09,67.9,211.13,-1.38,169.84,4.0,64.566,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30112,2015-08-10 08:27:39:313
-1.0885,1.8344,-10.233,-1.3212,1.383,-9.6184,0.2327,0.4515,-0.6146,-0.4909,0.1155,0.1055,4.0,-19.52,-55.15,68.42,211.17,-4.09,170.97,4.0,64.566,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30212,2015-08-10 08:27:39:413
-1.0885,1.8344,-10.233,-1.3212,1.383,-9.6184,0.2327,0.4515,-0.6146,-0.9159,0.254,0.2791,4.0,-19.52,-55.15,68.42,211.17,-4.09,170.97,4.0,64.566,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30312,2015-08-10 08:27:39:513
-0.4971,3.3691,-9.213,-0.9987,2.368,-9.464,0.5016,1.0011,0.2509,-2.1058,0.2465,0.2653,4.0,-19.79,-57.5,68.64,211.76,-8.11,172.18,4.0,60.742,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30412,2015-08-10 08:27:39:613
-0.6862,5.4185,-7.3791,-0.5668,4.2965,-8.797,-0.1194,1.122,1.418,-2.1058,0.2465,0.2653,4.0,-20.95,-61.06,68.65,213.09,-13.97,173.98,4.0,60.742,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30512,2015-08-10 08:27:39:713
-0.1212,6.7162,-7.9513,-0.3792,6.1289,-7.6462,0.258,0.5873,-0.3051,-1.7841,0.1421,-0.0692,4.0,-23.03,-66.02,68.02,222.1,-25.98,176.31,4.0,60.742,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30611,2015-08-10 08:27:39:812
-0.1212,6.7162,-7.9513,-0.3792,6.1289,-7.6462,0.258,0.5873,-0.3051,-1.8128,0.1645,-0.1545,4.0,-23.03,-66.02,68.02,222.1,-25.98,176.31,4.0,74.005,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30711,2015-08-10 08:27:39:912
-0.3319,8.2988,-5.5308,-0.3891,7.8802,-5.8242,0.0572,0.4185,0.2934,-1.6967,0.1347,0.2216,4.0,-24.74,-73.64,65.8,238.44,-38.68,177.16,4.0,74.005,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30811,2015-08-10 08:27:40:012
-0.9592,8.7369,-2.9426,-0.2894,9.0824,-3.6872,-0.6698,-0.3455,0.7446,-1.6967,0.1347,0.2216,5.0,-25.74,-82.89,61.92,267.93,-53.47,176.18,4.0,74.005,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,30911,2015-08-10 08:27:40:112
-0.9592,8.7369,-2.9426,-0.2894,9.0824,-3.6872,-0.6698,-0.3455,0.7446,-1.2088,0.0463,0.2855,5.0,-25.74,-82.89,61.92,267.93,-53.47,176.18,4.0,63.314,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31011,2015-08-10 08:27:40:212
0.0608,9.7616,-1.1111,-0.0741,9.6256,-1.8738,0.1348,0.136,0.7627,-0.8775,0.1176,-0.0149,5.0,-26.19,-92.33,56.0,296.52,-67.84,175.51,4.0,63.314,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31115,2015-08-10 08:27:40:316
0.0105,9.8167,-0.0528,0.16,9.7911,-0.5273,-0.1495,0.0256,0.4745,-0.8775,0.1176,-0.0149,5.0,-26.17,-100.41,48.43,314.03,-78.98,177.74,4.0,63.314,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31212,2015-08-10 08:27:40:413
0.1853,9.9268,0.8833,0.3151,9.8016,0.0126,-0.1299,0.1252,0.8707,-0.5644,-0.0027,-0.0202,9.0,-26.86,-106.64,41.71,341.98,-86.78,-163.12,4.0,63.8,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31311,2015-08-10 08:27:40:512
0.1853,9.9268,0.8833,0.3151,9.8016,0.0126,-0.1299,0.1252,0.8707,-0.1883,-0.0219,0.1576,9.0,-26.86,-106.64,41.71,341.98,-86.78,-163.12,4.0,63.8,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31412,2015-08-10 08:27:40:613
0.5228,10.0417,0.529,0.3608,9.7906,0.4268,0.1621,0.2511,0.1022,-0.0839,-0.024,-0.065,9.0,-27.72,-110.58,36.77,58.96,-88.16,-87.72,4.0,63.8,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31512,2015-08-10 08:27:40:713
0.554,9.8957,0.5266,0.4594,9.7734,0.6623,0.0946,0.1223,-0.1357,-0.0839,-0.024,-0.065,9.0,-28.32,-112.68,33.89,108.28,-86.73,-40.21,4.0,67.814,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31612,2015-08-10 08:27:40:813
0.554,9.8957,0.5266,0.4594,9.7734,0.6623,0.0946,0.1223,-0.1357,0.0301,-0.1849,-0.0426,10.0,-28.32,-112.68,33.89,108.28,-86.73,-40.21,4.0,67.814,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31712,2015-08-10 08:27:40:913
0.1326,9.6922,0.5649,0.3831,9.7751,0.6865,-0.2505,-0.0829,-0.1217,0.1611,-0.0986,0.0895,10.0,-29.19,-113.42,32.1,114.33,-85.29,-34.75,4.0,67.814,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31811,2015-08-10 08:27:41:012
0.5109,9.697,0.5864,0.4749,9.777,0.5947,0.0359,-0.0801,-0.0082,0.1611,-0.0986,0.0895,10.0,-29.39,-114.0,31.36,118.59,-85.4,-29.16,4.0,64.927,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,31912,2015-08-10 08:27:41:113
-0.0446,9.9867,1.1036,0.6358,9.7769,0.4197,-0.6804,0.2098,0.6838,0.1451,-0.1029,0.2599,10.0,-29.28,-114.67,31.07,109.69,-85.55,-38.61,4.0,64.927,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32012,2015-08-10 08:27:41:213
-0.0446,9.9867,1.1036,0.6358,9.7769,0.4197,-0.6804,0.2098,0.6838,-0.0211,0.0633,0.2386,11.0,-29.28,-114.67,31.07,109.69,-85.55,-38.61,4.0,64.927,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32112,2015-08-10 08:27:41:313
1.0065,9.5078,-0.139,0.6602,9.7802,0.2852,0.3463,-0.2723,-0.4242,-0.2171,0.0378,-0.081,11.0,-29.73,-114.74,30.87,91.35,-85.54,-56.57,4.0,62.874,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32212,2015-08-10 08:27:41:413
1.0136,10.4009,0.019,0.6479,9.7752,0.4387,0.3657,0.6256,-0.4197,-0.2171,0.0378,-0.081,11.0,-29.86,-114.2,30.7,80.37,-85.79,-66.64,4.0,62.874,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32312,2015-08-10 08:27:41:513
1.0136,10.4009,0.019,0.6479,9.7752,0.4387,0.3657,0.6256,-0.4197,-0.2256,0.139,0.0863,11.0,-29.86,-114.2,30.7,80.37,-85.79,-66.64,4.0,62.874,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32412,2015-08-10 08:27:41:613
0.7599,9.7856,1.082,0.5691,9.7547,0.8302,0.1908,0.0308,0.2518,0.0184,-0.3308,0.0234,11.0,-30.17,-113.64,30.57,92.24,-85.42,-55.9,4.0,70.677,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32512,2015-08-10 08:27:41:713
0.3744,9.5557,1.197,0.4929,9.7613,0.8012,-0.1185,-0.2056,0.3958,0.0184,-0.3308,0.0234,11.0,-30.73,-112.74,30.28,113.82,-84.11,-34.43,4.0,70.677,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32612,2015-08-10 08:27:41:813
-0.4516,9.6419,1.1227,0.4449,9.7553,0.8971,-0.8965,-0.1134,0.2257,-0.0296,0.2732,-0.0128,11.0,-30.95,-113.07,29.55,115.51,-84.5,-31.6,4.0,70.677,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32713,2015-08-10 08:27:41:914
-0.4516,9.6419,1.1227,0.4449,9.7553,0.8971,-0.8965,-0.1134,0.2257,0.2879,-0.1071,0.0255,11.0,-30.95,-113.07,29.55,115.51,-84.5,-31.6,4.0,76.026,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32812,2015-08-10 08:27:42:013
0.779,9.6754,-0.1366,0.5053,9.7787,0.5391,0.2737,-0.1032,-0.6758,-0.1404,0.1656,-0.0607,12.0,-30.78,-113.69,29.13,120.33,-84.14,-26.38,4.0,76.026,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,32912,2015-08-10 08:27:42:113
0.4366,9.6204,0.596,0.5116,9.78,0.5085,-0.075,-0.1597,0.0875,-0.1404,0.1656,-0.0607,12.0,-30.57,-113.63,28.86,101.39,-85.68,-43.15,4.0,76.026,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33012,2015-08-10 08:27:42:213
0.4366,9.6204,0.596,0.5116,9.78,0.5085,-0.075,-0.1597,0.0875,-0.2245,0.1475,-0.0203,12.0,-30.57,-113.63,28.86,101.39,-85.68,-43.15,4.0,72.294,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33111,2015-08-10 08:27:42:312
0.0512,9.5294,0.8139,0.4334,9.7686,0.7441,-0.3822,-0.2393,0.0697,0.0929,-0.0837,0.0756,12.0,-30.29,-113.39,29.64,100.91,-85.78,-45.18,4.0,72.294,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33212,2015-08-10 08:27:42:413
0.6186,9.8023,0.9288,0.4434,9.7655,0.7784,0.1752,0.0368,0.1504,0.0929,-0.0837,0.0756,13.0,-30.3,-112.85,29.87,116.79,-84.96,-30.21,4.0,72.294,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33311,2015-08-10 08:27:42:512
0.7862,9.9244,0.4093,0.5754,9.7676,0.656,0.2108,0.1568,-0.2468,0.0727,0.074,0.0777,13.0,-30.68,-112.8,29.49,116.0,-84.76,-29.67,4.0,70.301,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33413,2015-08-10 08:27:42:614
0.7862,9.9244,0.4093,0.5754,9.7676,0.656,0.2108,0.1568,-0.2468,-0.1393,-0.0198,-0.0767,13.0,-30.68,-112.8,29.49,116.0,-84.76,-29.67,4.0,70.301,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33514,2015-08-10 08:27:42:715
0.7335,9.5701,0.7828,0.5938,9.7676,0.6397,0.1398,-0.1975,0.1431,0.0343,0.0271,-0.0096,13.0,-31.74,-112.65,29.16,103.99,-84.9,-41.25,4.0,70.301,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33613,2015-08-10 08:27:42:814
0.3576,9.6132,0.5697,0.574,9.7686,0.6421,-0.2164,-0.1555,-0.0724,0.0343,0.0271,-0.0096,12.0,-32.05,-113.17,29.71,103.18,-84.89,-42.87,4.0,76.888,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33712,2015-08-10 08:27:42:913
0.3576,9.6132,0.5697,0.574,9.7686,0.6421,-0.2164,-0.1555,-0.0724,0.1622,-0.0879,0.0745,12.0,-32.05,-113.17,29.71,103.18,-84.89,-42.87,4.0,76.888,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33812,2015-08-10 08:27:43:013
0.7718,9.7425,0.4907,0.6737,9.7749,0.4075,0.0982,-0.0325,0.0832,0.1345,-0.1721,-0.0373,12.0,-31.96,-113.79,29.74,104.14,-84.96,-41.8,4.0,76.888,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,33912,2015-08-10 08:27:43:113
0.6401,9.7305,0.2345,0.7265,9.7779,0.1845,-0.0863,-0.0474,0.05,0.1345,-0.1721,-0.0373,12.0,-32.26,-114.37,29.7,86.39,-85.4,-58.83,4.0,76.061,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34012,2015-08-10 08:27:43:213
0.3935,9.6299,0.0453,0.6466,9.7824,0.2331,-0.253,-0.1525,-0.1878,0.0535,-0.0453,-0.0096,10.0,-32.36,-114.58,30.01,68.21,-85.62,-75.75,4.0,76.061,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34112,2015-08-10 08:27:43:313
0.3935,9.6299,0.0453,0.6466,9.7824,0.2331,-0.253,-0.1525,-0.1878,0.0546,-0.0379,0.0457,10.0,-32.36,-114.58,30.01,68.21,-85.62,-75.75,4.0,76.061,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34212,2015-08-10 08:27:43:413
0.7886,9.7927,0.2752,0.6876,9.7805,0.1953,0.101,0.0123,0.0799,-0.1148,0.1304,0.001,10.0,-31.78,-114.47,31.11,73.9,-85.98,-70.17,4.0,76.061,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34312,2015-08-10 08:27:43:513
0.6689,9.6706,-0.1223,0.723,9.7757,0.2882,-0.0542,-0.105,-0.4105,-0.1148,0.1304,0.001,10.0,-31.62,-113.99,32.01,70.92,-85.82,-74.15,4.0,72.063,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34412,2015-08-10 08:27:43:613
0.6689,9.6706,-0.1223,0.723,9.7757,0.2882,-0.0542,-0.105,-0.4105,-0.0029,0.1304,-0.0352,10.0,-31.62,-113.99,32.01,70.92,-85.82,-74.15,4.0,72.063,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34511,2015-08-10 08:27:43:712
0.4654,9.6323,-0.2444,0.7043,9.7788,0.2198,-0.239,-0.1465,-0.4642,-0.1286,0.1326,-0.0533,10.0,-31.22,-114.01,32.06,79.22,-85.45,-68.27,4.0,72.063,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34611,2015-08-10 08:27:43:812
0.8844,9.7903,0.1315,0.6651,9.7806,0.2587,0.2192,0.0097,-0.1272,-0.1286,0.1326,-0.0533,10.0,-31.35,-114.21,31.87,73.98,-85.69,-72.67,4.0,71.18,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34712,2015-08-10 08:27:43:913
0.3409,9.8478,0.0429,0.6391,9.7778,0.3931,-0.2982,0.07,-0.3502,-0.085,0.0782,0.0191,10.0,-31.52,-114.35,31.91,76.59,-85.83,-68.75,4.0,71.18,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34812,2015-08-10 08:27:44:013
0.3409,9.8478,0.0429,0.6391,9.7778,0.3931,-0.2982,0.07,-0.3502,-0.183,0.0995,-0.0405,10.0,-31.52,-114.35,31.91,76.59,-85.83,-68.75,4.0,71.18,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,34912,2015-08-10 08:27:44:113
-0.1308,9.4815,1.1706,0.5692,9.773,0.5772,-0.7,-0.2915,0.5935,0.0205,0.026,-0.0032,10.0,-31.88,-114.87,31.65,87.84,-85.61,-58.41,4.0,77.174,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35012,2015-08-10 08:27:44:213
0.4678,9.6994,0.7373,0.6587,9.7689,0.5505,-0.1909,-0.0696,0.1867,0.0205,0.026,-0.0032,10.0,-31.95,-115.03,31.23,101.55,-85.26,-44.6,4.0,77.174,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35112,2015-08-10 08:27:44:313
0.4678,9.6994,0.7373,0.6587,9.7689,0.5505,-0.1909,-0.0696,0.1867,-0.0168,0.0101,-0.0597,10.0,-31.95,-115.03,31.23,101.55,-85.26,-44.6,4.0,77.174,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35211,2015-08-10 08:27:44:412
0.4773,9.5605,0.6199,0.5861,9.7695,0.6168,-0.1088,-0.209,0.0031,0.0429,-0.0059,-0.0107,10.0,-31.73,-114.73,30.62,96.96,-84.98,-50.11,4.0,69.636,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35311,2015-08-10 08:27:44:512
0.6425,9.6132,0.5601,0.592,9.7707,0.5912,0.0506,-0.1576,-0.0311,0.0429,-0.0059,-0.0107,10.0,-31.94,-114.45,30.19,102.34,-85.02,-43.54,4.0,69.636,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35412,2015-08-10 08:27:44:613
0.5444,9.7377,0.517,0.5975,9.7707,0.5878,-0.0531,-0.0331,-0.0708,-0.004,-0.0059,-0.0288,10.0,-31.7,-114.63,30.18,100.81,-85.11,-45.04,4.0,69.636,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35511,2015-08-10 08:27:44:712
0.5444,9.7377,0.517,0.5975,9.7707,0.5878,-0.0531,-0.0331,-0.0708,0.0066,-0.0081,-0.0235,10.0,-31.7,-114.63,30.18,100.81,-85.11,-45.04,4.0,74.11,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35611,2015-08-10 08:27:44:812
0.5061,9.5988,0.4859,0.5773,9.7712,0.5991,-0.0712,-0.1724,-0.1133,-0.0072,-0.0059,0.0351,9.0,-31.18,-114.72,30.35,101.5,-85.1,-45.47,4.0,74.11,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35711,2015-08-10 08:27:44:912
0.4821,9.7377,0.5721,0.5821,9.7715,0.5905,-0.1,-0.0338,-0.0184,-0.0072,-0.0059,0.0351,9.0,-31.02,-114.75,30.67,103.56,-85.13,-43.94,4.0,74.11,32.77658,35.005676,,303.5619507,,28.855,,0 / 0,35812,2015-08-10 08:27:45:013